id_batiment,infra_id,infra_etat,longueur,type_batiment,nb_maisons,type_infra
E000023,P007111,infra_intacte,12.3144613356693,habitation,2,fourreau
E000023,P007111,infra_intacte,12.3144613356693,habitation,2,fourreau
E000023,P007982,infra_intacte,49.956115228201,habitation,2,fourreau
E000023,P000241,infra_intacte,75.9819951693543,habitation,2,fourreau
E000023,P000298,infra_intacte,17.8683661881297,habitation,2,aerien
E000023,P007122,infra_intacte,10.5829298832587,habitation,2,fourreau
E000024,P007111,infra_intacte,12.3144613356693,habitation,7,fourreau
E000024,P007111,infra_intacte,12.3144613356693,habitation,7,fourreau
E000024,P007111,infra_intacte,12.3144613356693,habitation,7,fourreau
E000024,P007982,infra_intacte,49.956115228201,habitation,7,fourreau
E000024,P000241,infra_intacte,75.9819951693543,habitation,7,fourreau
E000024,P000298,infra_intacte,17.8683661881297,habitation,7,aerien
E000024,P007368,infra_intacte,12.3590774620561,habitation,7,aerien
E000025,P007111,infra_intacte,12.3144613356693,habitation,7,fourreau
E000025,P007982,infra_intacte,49.956115228201,habitation,7,fourreau
E000025,P000181,infra_intacte,6.18934271279126,habitation,7,aerien
E000025,P000394,infra_intacte,37.5183055134459,habitation,7,fourreau
E000025,P000395,infra_intacte,61.6365018431784,habitation,7,fourreau
E000025,P000381,infra_intacte,55.0605613618661,habitation,7,aerien
E000025,P007251,infra_intacte,7.71576907713709,habitation,7,aerien
E000026,P007111,infra_intacte,12.3144613356693,habitation,1,fourreau
E000026,P007982,infra_intacte,49.956115228201,habitation,1,fourreau
E000026,P000181,infra_intacte,6.18934271279126,habitation,1,aerien
E000026,P000394,infra_intacte,37.5183055134459,habitation,1,fourreau
E000026,P000395,infra_intacte,61.6365018431784,habitation,1,fourreau
E000026,P000381,infra_intacte,55.0605613618661,habitation,1,aerien
E000026,P007243,infra_intacte,10.8332248506963,habitation,1,aerien
E000027,P007111,infra_intacte,12.3144613356693,habitation,5,fourreau
E000027,P007982,infra_intacte,49.956115228201,habitation,5,fourreau
E000027,P000181,infra_intacte,6.18934271279126,habitation,5,aerien
E000027,P000394,infra_intacte,37.5183055134459,habitation,5,fourreau
E000027,P000395,infra_intacte,61.6365018431784,habitation,5,fourreau
E000027,P000381,infra_intacte,55.0605613618661,habitation,5,aerien
E000027,P007146,infra_intacte,14.1328129079196,habitation,5,aerien
E000028,P007111,infra_intacte,12.3144613356693,habitation,6,fourreau
E000028,P007982,infra_intacte,49.956115228201,habitation,6,fourreau
E000028,P000181,infra_intacte,6.18934271279126,habitation,6,aerien
E000028,P000394,infra_intacte,37.5183055134459,habitation,6,fourreau
E000028,P000395,infra_intacte,61.6365018431784,habitation,6,fourreau
E000028,P000381,infra_intacte,55.0605613618661,habitation,6,aerien
E000028,P007338,infra_intacte,17.7187304348002,habitation,6,aerien
E000029,P007111,infra_intacte,12.3144613356693,habitation,5,fourreau
E000029,P007982,infra_intacte,49.956115228201,habitation,5,fourreau
E000029,P000181,infra_intacte,6.18934271279126,habitation,5,aerien
E000029,P000394,infra_intacte,37.5183055134459,habitation,5,fourreau
E000029,P000395,infra_intacte,61.6365018431784,habitation,5,fourreau
E000029,P000334,infra_intacte,9.01673275932094,habitation,5,aerien
E000029,P007328,infra_intacte,13.580887613469,habitation,5,aerien
E000030,P007111,infra_intacte,12.3144613356693,habitation,3,fourreau
E000030,P007982,infra_intacte,49.956115228201,habitation,3,fourreau
E000030,P000181,infra_intacte,6.18934271279126,habitation,3,aerien
E000030,P000394,infra_intacte,37.5183055134459,habitation,3,fourreau
E000030,P000395,infra_intacte,61.6365018431784,habitation,3,fourreau
E000030,P000334,infra_intacte,9.01673275932094,habitation,3,aerien
E000030,P007244,infra_intacte,13.8202543784816,habitation,3,semi-aerien
E000031,P007111,infra_intacte,12.3144613356693,habitation,3,fourreau
E000031,P007982,infra_intacte,49.956115228201,habitation,3,fourreau
E000031,P000181,infra_intacte,6.18934271279126,habitation,3,aerien
E000031,P000394,infra_intacte,37.5183055134459,habitation,3,fourreau
E000031,P000395,infra_intacte,61.6365018431784,habitation,3,fourreau
E000031,P000334,infra_intacte,9.01673275932094,habitation,3,aerien
E000031,P007133,infra_intacte,15.2467571493073,habitation,3,aerien
E000032,P007111,infra_intacte,12.3144613356693,habitation,1,fourreau
E000032,P007982,infra_intacte,49.956115228201,habitation,1,fourreau
E000032,P000181,infra_intacte,6.18934271279126,habitation,1,aerien
E000032,P000394,infra_intacte,37.5183055134459,habitation,1,fourreau
E000032,P000395,infra_intacte,61.6365018431784,habitation,1,fourreau
E000032,P000334,infra_intacte,9.01673275932094,habitation,1,aerien
E000032,P007152,infra_intacte,17.3707128102982,habitation,1,fourreau
E000033,P007111,infra_intacte,12.3144613356693,habitation,5,fourreau
E000033,P007982,infra_intacte,49.956115228201,habitation,5,fourreau
E000033,P000181,infra_intacte,6.18934271279126,habitation,5,aerien
E000033,P000394,infra_intacte,37.5183055134459,habitation,5,fourreau
E000033,P000395,infra_intacte,61.6365018431784,habitation,5,fourreau
E000033,P000334,infra_intacte,9.01673275932094,habitation,5,aerien
E000033,P007227,infra_intacte,19.3633643271163,habitation,5,semi-aerien
E000034,P007111,infra_intacte,12.3144613356693,habitation,4,fourreau
E000034,P007982,infra_intacte,49.956115228201,habitation,4,fourreau
E000034,P000181,infra_intacte,6.18934271279126,habitation,4,aerien
E000034,P000394,infra_intacte,37.5183055134459,habitation,4,fourreau
E000034,P000395,infra_intacte,61.6365018431784,habitation,4,fourreau
E000034,P000052,infra_intacte,12.8565075983714,habitation,4,aerien
E000034,P007177,infra_intacte,2.34927288108204,habitation,4,aerien
E000035,P007111,infra_intacte,12.3144613356693,habitation,1,fourreau
E000035,P007982,infra_intacte,49.956115228201,habitation,1,fourreau
E000035,P000181,infra_intacte,6.18934271279126,habitation,1,aerien
E000035,P000394,infra_intacte,37.5183055134459,habitation,1,fourreau
E000035,P000395,infra_intacte,61.6365018431784,habitation,1,fourreau
E000035,P000052,infra_intacte,12.8565075983714,habitation,1,aerien
E000035,P007354,infra_intacte,10.1307302770864,habitation,1,aerien
E000036,P007111,infra_intacte,12.3144613356693,habitation,1,fourreau
E000036,P007983,infra_intacte,40.3209288665353,habitation,1,aerien
E000036,P000160,infra_intacte,44.6252544771484,habitation,1,semi-aerien
E000036,P000348,infra_intacte,9.12960147203556,habitation,1,aerien
E000036,P000020,infra_intacte,51.3121054948589,habitation,1,aerien
E000036,P000148,infra_intacte,34.0746754515243,habitation,1,aerien
